Row ID,Section,Nature of Payment,Payer Category,Payee Type,Threshold Amount (Rs),Threshold Condition,Threshold Sub-condition,Rate of TDS (%),Payee Sub-type for Rate,Effective From,Effective To,Notes
192-01,192,Salary,Any employer,Individual/HUF,0,N/A,Basic exemption limit applies,Avg,All employees,01-04-2024,31-03-2099,Rate = average income-tax on estimated annual salary. No fixed %.
192A-01,192A,Premature EPF withdrawal,Trustees of EPF Scheme,Individual/HUF,50000,>=,Aggregate payment in FY,10,All,01-04-2024,31-03-2099,TDS on taxable withdrawal. No deduction if Form 15G/15H submitted.
193-01,193,Interest on Securities,Any payer,Any Resident,10000,>,Interest on 8%/7.75% Savings Bonds / Floating Rate Savings Bonds 2020 (w.e.f.01-10-2024) / notified Central & State Govt securities,10,All,01-04-2024,31-03-2099,Floating Rate Savings Bonds 2020 & other notified Govt securities included w.e.f. 01-10-2024.
193-02,193,Interest on Securities,Any payer,Any Resident,5000,>,Interest on debentures issued by a company with substantial public interest, paid/credited to resident individual or HUF by A/c payee cheque,10,All,01-04-2024,31-03-2099,Threshold Rs 5,000 for this specific case only.
193-03,193,Interest on Securities,Any payer,Any Resident,0,N/A,Any other case (no threshold specified),10,All,01-04-2024,31-03-2099,No monetary threshold in other cases.
194-01,194,Dividend (incl. preference shares),Principal Officer of domestic company,Individual/HUF,5000,>,Dividend paid/credited by any mode other than cash to individual shareholder in FY,10,Individual,01-04-2024,31-03-2099,Deduct before making payment or distribution.
194-02,194,Dividend (incl. preference shares),Principal Officer of domestic company,Non-Individual Resident,0,N/A,No threshold for non-individual shareholders or cash payments,10,Others,01-04-2024,31-03-2099,No threshold in all other cases.
194A-01,194A,Interest (other than on securities),Banking company / Co-op bank / Post office (deposits under notified scheme),Any Resident ,40000,>,Interest credited/paid by banking company, co-operative bank, or post office on notified deposit scheme,10,General,01-04-2024,31-03-2099,Standard threshold for bank/co-op/post office deposits.
194A-02,194A,Interest (other than on securities),Banking company / Co-op bank / Post office,Senior Citizen,50000,>,Interest credited/paid to resident senior citizen by banking company / co-operative bank / post office,10,Senior Citizen,01-04-2024,31-03-2099,Enhanced threshold of Rs 50,000 for senior citizens only.
194A-03,194A,Interest (other than on securities),Any other payer (non-bank),Any Resident,5000,>,Interest paid/credited in all other cases not covered by 194A-01 / 194A-02,10,All,01-04-2024,31-03-2099,Applies to NBFCs, companies, firms, etc.
194B-01,194B,Winnings from lottery / crossword / card game / gambling / betting,Person responsible for paying,Any Person,10000,>,Amount or aggregate of amounts in FY,30,All,01-04-2024,31-03-2099,At time of payment.
194BA-01,194BA,Winnings from online games,Person responsible for paying,Any Person,0,N/A,Net winnings in user account computed in prescribed manner (no monetary threshold),30,All,01-04-2024,31-03-2099,Deducted at end of FY or at withdrawal, whichever earlier.
194BB-01,194BB,Winnings from horse race,Bookmaker or licence holder,Any Person,10000,>,Amount or aggregate of amounts in FY,30,All,01-04-2024,31-03-2099,At time of payment.
194C-01,194C,Payments to Contractors,Central/State Govt, Local Authority, Company, Firm, Trust, Registered Society, Co-op Society, University, Foreign Govt/Enterprise, Individual/HUF (turnover > Rs 1Cr/50L in preceding FY),Individual/HUF,30000,>,Single payment in FY,1,Individual / HUF payee,01-04-2024,31-03-2099,Rate 1% if payee is Individual or HUF.
194C-02,194C,Payments to Contractors,Central/State Govt, Local Authority, Company, Firm, Trust, Registered Society, Co-op Society, University, Foreign Govt/Enterprise, Individual/HUF (turnover > Rs 1Cr/50L in preceding FY),Individual/HUF,100000,>,Aggregate payments to contractor in FY,1,Individual / HUF payee,01-04-2024,31-03-2099,Use whichever threshold is breached first (single or aggregate).
194C-03,194C,Payments to Contractors,Same as above,Non-Individual Resident,30000,>,Single payment in FY,2,Company / Firm / Other payee,01-04-2024,31-03-2099,Rate 2% if payee is not Individual/HUF.
